GCnum,date,time,compound,retention,area,height,sample,batch,ppm,redo,unique_batch
ecd45.CHR,10/19/20,16:10:27,N2O,1.45,3.838,0.605,2004-90,1,,,1_10/19/20
ecd46.CHR,10/19/20,16:15:39,N2O,1.453,5.2334,0.838,337-90,1,,,1_10/19/20
ecd47.CHR,10/19/20,16:20:51,N2O,1.45,6.3124,0.992,C1-90,1,,,1_10/19/20
ecd48.CHR,10/19/20,16:26:03,N2O,1.45,4.2344,0.664,C2-90,1,,,1_10/19/20
ecd49.CHR,10/19/20,16:31:15,N2O,1.453,5.0664,0.796,C3-90,1,,,1_10/19/20
ecd50.CHR,10/19/20,16:36:27,N2O,1.45,4.5916,0.73,323-45,1,,,1_10/19/20
ecd51.CHR,10/19/20,16:41:39,N2O,1.453,20.739,3.045,Mix1,2,,,2_10/19/20
ecd52.CHR,10/19/20,16:46:51,N2O,1.45,117.4468,16.801,Mix2,2,,,2_10/19/20
ecd53.CHR,10/19/20,16:52:03,N2O,1.453,669.5214,92.5,Mix3,2,,,2_10/19/20
ecd08.CHR,10/19/20,12:40:14,N2O,1.443,4.4512,0.718,C2-0,1,,,2_10/19/20
ecd54.CHR,10/19/20,16:57:15,N2O,1.446,5.1172,0.822,324-45,2,,,2_10/19/20
ecd55.CHR,10/19/20,17:02:27,N2O,1.446,4.9114,0.791,317-45,2,,,2_10/19/20
ecd56.CHR,10/19/20,17:07:39,N2O,1.453,4.9142,0.772,312-45,2,,,2_10/19/20
ecd57.CHR,10/19/20,17:12:52,N2O,1.446,5.1324,0.821,319-45,2,,,2_10/19/20
ecd58.CHR,10/19/20,17:18:04,N2O,1.45,4.6652,0.728,328-45,2,,,2_10/19/20
ecd59.CHR,10/19/20,17:23:16,N2O,1.45,5.9466,0.938,310-45,2,,,2_10/19/20
ecd60.CHR,10/19/20,17:28:28,N2O,1.45,5.8152,0.954,302-45,2,,,2_10/19/20
ecd61.CHR,10/19/20,17:33:40,N2O,1.446,6.3576,1.006,318-45,2,,,2_10/19/20
ecd62.CHR,10/19/20,17:38:52,N2O,1.453,6.6696,1.05,315-45,2,,,2_10/19/20
ecd63.CHR,10/19/20,17:44:04,N2O,1.45,5.8608,0.921,352-45,2,,,2_10/19/20
ecd64.CHR,10/19/20,17:49:17,N2O,1.453,4.7446,0.753,325-45,2,,,2_10/19/20
ecd65.CHR,10/19/20,17:54:29,N2O,1.453,14.8928,2.381,333-45,2,,,2_10/19/20
ecd66.CHR,10/19/20,17:59:41,N2O,1.45,6.338,1.005,311-45,2,,,2_10/19/20
ecd67.CHR,10/19/20,18:04:53,N2O,1.443,4.7684,0.743,308-45,2,,,2_10/19/20
ecd68.CHR,10/19/20,18:10:05,N2O,1.45,8.44,1.34,320-45,2,,,2_10/19/20
ecd69.CHR,10/19/20,18:15:17,N2O,1.456,5.6486,0.88,307-45,2,,,2_10/19/20
ecd70.CHR,10/19/20,18:20:29,N2O,1.456,4.092,0.622,304-45,2,,no_pressure,2_10/19/20
ecd71.CHR,10/19/20,18:25:41,N2O,1.446,5.2484,0.833,342-45,2,,,2_10/19/20
ecd72.CHR,10/19/20,18:30:54,N2O,1.45,7.693,1.203,331-45,2,,,2_10/19/20
ecd73.CHR,10/19/20,18:36:05,N2O,1.453,8.1436,1.275,323-90,2,,,2_10/19/20
ecd74.CHR,10/19/20,18:41:17,N2O,1.456,7.882,1.259,324-90,2,,,2_10/19/20
ecd75.CHR,10/19/20,18:46:30,N2O,1.446,9.3788,1.491,317-90,2,,,2_10/19/20
ecd76.CHR,10/19/20,18:51:42,N2O,1.45,6.77,1.086,312-90,2,,,2_10/19/20
ecd77.CHR,10/19/20,18:56:54,N2O,1.45,9.1316,1.44,319-90,2,,,2_10/19/20
ecd78.CHR,10/19/20,19:02:06,N2O,1.453,8.3536,1.328,328-90,2,,,2_10/19/20
ecd79.CHR,10/19/20,19:07:18,N2O,1.456,10.6872,1.694,310-90,2,,,2_10/19/20
ecd80.CHR,10/19/20,19:12:30,N2O,1.453,9.8788,1.553,302-90,2,,,2_10/19/20
ecd81.CHR,10/19/20,19:17:42,N2O,1.456,10.5086,1.663,318-90,2,,,2_10/19/20
ecd82.CHR,10/19/20,19:22:54,N2O,1.453,9.1742,1.453,315-90,2,,,2_10/19/20
ecd83.CHR,10/19/20,19:28:07,N2O,1.446,5.3968,0.854,352-90,2,,,2_10/19/20
ecd84.CHR,10/19/20,19:33:18,N2O,1.456,7.0344,1.113,325-90,2,,,2_10/19/20
ecd85.CHR,10/19/20,19:38:30,N2O,1.45,27.1274,4.245,333-90,2,,,2_10/19/20
ecd86.CHR,10/19/20,19:43:42,N2O,1.453,10.5188,1.672,311-90,2,,,2_10/19/20
ecd87.CHR,10/19/20,19:48:54,N2O,1.453,7.1432,1.128,308-90,2,,,2_10/19/20
ecd88.CHR,10/19/20,19:54:06,N2O,1.456,15.5528,2.467,320-90,2,,,2_10/19/20
ecd89.CHR,10/19/20,19:59:18,N2O,1.453,9.602,1.524,307-90,2,,,2_10/19/20
ecd90.CHR,10/19/20,20:04:30,N2O,1.453,8.3788,1.349,304-90,2,,no_pressure,2_10/19/20
ecd91.CHR,10/19/20,20:09:42,N2O,1.45,7.0716,1.104,342-90,2,,,2_10/19/20
ecd92.CHR,10/20/20,7:17:52,N2O,1.453,13.7124,1.695,331-90,2,,,2_10/19/20
ecd93.CHR,10/20/20,7:23:03,N2O,1.453,3.93,0.606,356-45,2,,,2_10/19/20
ecd94.CHR,10/20/20,7:28:14,N2O,1.453,6.2248,0.97,326-45,2,,,2_10/19/20
ecd95.CHR,10/20/20,7:33:25,N2O,1.46,8.3754,1.328,351-45,2,,,2_10/19/20
ecd96.CHR,10/20/20,7:38:37,N2O,1.453,4.6648,0.728,329-45,2,,,2_10/19/20
ecd97.CHR,10/20/20,7:43:47,N2O,1.45,3.6798,0.577,332-45,2,,,2_10/19/20
ecd98.CHR,10/20/20,7:48:59,N2O,1.463,7.3788,1.17,354-45,2,,,2_10/19/20
ecd99.CHR,10/20/20,7:54:10,N2O,1.46,6.8066,1.069,338-45,2,,,2_10/19/20
ecd100.CHR,10/20/20,7:59:21,N2O,1.463,3.7932,0.592,345-45,2,,,2_10/19/20
ecd09.CHR,10/19/20,12:45:27,N2O,1.433,3.1616,0.511,C3-0,1,,,3_10/19/20
ecd101.CHR,10/20/20,8:04:32,N2O,1.466,20.0964,2.931,Mix1,3,,,3_10/19/20
ecd102.CHR,10/20/20,8:09:44,N2O,1.463,117.9044,16.702,Mix2,3,,,3_10/19/20
ecd103.CHR,10/20/20,8:14:55,N2O,1.46,642.8842,88.306,Mix3,3,,,3_10/19/20
ecd104.CHR,10/20/20,8:20:06,N2O,1.456,6.4072,0.997,305-45,3,,,3_10/19/20
ecd105.CHR,10/20/20,8:25:18,N2O,1.46,9.2678,1.457,344-45,3,,,3_10/19/20
ecd106.CHR,10/20/20,8:30:29,N2O,1.453,5.6218,0.875,348-45,3,,,3_10/19/20
ecd107.CHR,10/20/20,8:35:40,N2O,1.463,7.4966,1.185,309-45,3,,,3_10/19/20
ecd108.CHR,10/20/20,8:40:51,N2O,1.46,40.8888,2.156,321-45,3,,,3_10/19/20
ecd109.CHR,10/20/20,8:46:03,N2O,1.456,10.0158,1.571,316-45,3,,,3_10/19/20
ecd110.CHR,10/20/20,8:51:14,N2O,1.46,14.4128,2.267,355-45,3,,,3_10/19/20
ecd111.CHR,10/20/20,8:56:26,N2O,1.456,8.8756,1.412,340-45,3,,,3_10/19/20
ecd112.CHR,10/20/20,9:01:37,N2O,1.46,8.2856,1.294,313-45,3,,,3_10/19/20
ecd113.CHR,10/20/20,9:06:48,N2O,1.46,11.4344,1.793,353-45,3,,,3_10/19/20
ecd114.CHR,10/20/20,9:12:00,N2O,1.456,4.577,0.719,339-45,3,,,3_10/19/20
ecd115.CHR,10/20/20,9:17:11,N2O,1.46,6.8322,1.074,343-45,3,,,3_10/19/20
ecd116.CHR,10/20/20,9:22:22,N2O,1.463,6.2608,0.988,356-90,3,,,3_10/19/20
ecd117.CHR,10/20/20,9:27:34,N2O,1.46,14.9146,2.355,326-90,3,,,3_10/19/20
ecd118.CHR,10/20/20,9:32:45,N2O,1.463,61.6002,4.65,351-90,3,,,3_10/19/20
ecd119.CHR,10/20/20,9:37:57,N2O,1.456,9.6482,1.519,329-90,3,,,3_10/19/20
ecd120.CHR,10/20/20,9:43:08,N2O,1.456,4.3254,0.683,332-90,3,,,3_10/19/20
ecd121.CHR,10/20/20,9:48:20,N2O,1.46,13.8292,2.171,354-90,3,,,3_10/19/20
ecd122.CHR,10/20/20,9:53:31,N2O,1.463,11.1142,1.747,338-90,3,,,3_10/19/20
ecd123.CHR,10/20/20,9:58:42,N2O,1.46,6.2602,0.967,345-90,3,,,3_10/19/20
ecd124.CHR,10/20/20,10:03:53,N2O,1.463,10.352,1.622,305-90,3,,,3_10/19/20
ecd125.CHR,10/20/20,10:09:05,N2O,1.456,18.774,2.945,344-90,3,,,3_10/19/20
ecd126.CHR,10/20/20,10:14:17,N2O,1.456,10.2856,1.627,348-90,3,,,3_10/19/20
ecd127.CHR,10/20/20,10:19:28,N2O,1.463,53.9316,3.462,309-90,3,,,3_10/19/20
ecd128.CHR,10/20/20,10:24:40,N2O,1.46,15.0148,2.372,321-90,3,,,3_10/19/20
ecd129.CHR,10/20/20,10:29:52,N2O,1.463,20.382,3.211,316-90,3,,,3_10/19/20
ecd130.CHR,10/20/20,10:35:03,N2O,1.456,75.1032,6.422,355-90,3,,,3_10/19/20
ecd131.CHR,10/20/20,10:40:15,N2O,1.46,55.396,3.604,340-90,3,,,3_10/19/20
ecd132.CHR,10/20/20,10:45:27,N2O,1.46,11.4904,1.815,313-90,3,,,3_10/19/20
ecd133.CHR,10/20/20,10:50:38,N2O,1.46,23.2824,3.674,353-90,3,,,3_10/19/20
ecd134.CHR,10/20/20,10:55:50,N2O,1.463,7.9972,1.259,339-90,3,,,3_10/19/20
ecd135.CHR,10/20/20,11:01:02,N2O,1.46,13.3168,2.094,343-90,3,,,3_10/19/20
ecd136.CHR,10/20/20,11:06:13,N2O,1.463,6.81,1.07,214-45,3,,,3_10/19/20
ecd137.CHR,10/20/20,11:11:25,N2O,1.456,5.8044,0.92,306-45,3,,,3_10/19/20
ecd138.CHR,10/20/20,11:17:30,N2O,1.463,17.7678,2.781,336-45,3,,,3_10/19/20
ecd139.CHR,10/20/20,11:22:42,N2O,1.46,7.1594,1.122,207-45,3,,,3_10/19/20
ecd140.CHR,10/20/20,11:27:53,N2O,1.46,5.0636,0.808,228-45,3,,,3_10/19/20
ecd141.CHR,10/20/20,11:33:05,N2O,1.46,8.2808,1.297,211-45,3,,,3_10/19/20
ecd142.CHR,10/20/20,11:38:17,N2O,1.456,4.2292,0.673,239-45,3,,,3_10/19/20
ecd143.CHR,10/20/20,11:43:29,N2O,1.46,15.3058,2.383,214-90,3,,,3_10/19/20
ecd144.CHR,10/20/20,11:48:40,N2O,1.46,10.3762,1.635,306-90,3,,,3_10/19/20
ecd145.CHR,10/20/20,11:53:51,N2O,1.463,84.9892,8.071,336-90,3,,,3_10/19/20
ecd146.CHR,10/20/20,11:59:03,N2O,1.456,16.0418,2.522,207-90,3,,,3_10/19/20
ecd147.CHR,10/20/20,12:04:15,N2O,1.463,8.9482,1.413,228-90,3,,,3_10/19/20
ecd148.CHR,10/20/20,12:09:27,N2O,1.463,17.7592,2.779,211-90,3,,,3_10/19/20
ecd149.CHR,10/20/20,12:14:39,N2O,1.456,7.3458,1.174,239-90,3,,,3_10/19/20
ecd04.CHR,10/19/20,12:15:47,N2O,1.433,2.764,0.421,Amb,1,,,2_10/19/20
ecd05.CHR,10/19/20,12:20:59,N2O,1.433,5.096,0.786,Amb,1,,,2_10/19/20
ecd06.CHR,10/19/20,12:26:36,N2O,1.436,5.6678,0.865,Amb,1,,,2_10/19/20
ecd04.CHR,10/19/20,12:15:47,N2O,1.433,2.764,0.421,Amb,1,,,3_10/19/20
ecd05.CHR,10/19/20,12:20:59,N2O,1.433,5.096,0.786,Amb,1,,,3_10/19/20
ecd06.CHR,10/19/20,12:26:36,N2O,1.436,5.6678,0.865,Amb,1,,,3_10/19/20
