GCnum,date,time,compound,retention,area,height,sample,batch,ppm,redo,unique_batch
ecd22.CHR,2/3/21,9:55:05,N2O,1.42,4.864,0.8,615-45,1,,,1_02/07/2021
ecd23.CHR,2/3/21,10:00:20,N2O,1.426,1.958,0.31,C1-45,1,,,1_02/07/2021
ecd24.CHR,2/3/21,10:05:36,N2O,1.42,8.2488,1.34,601-90,1,,,1_02/07/2021
ecd25.CHR,2/3/21,10:10:51,N2O,1.42,15.44,2.52,602-90,1,,,1_02/07/2021
ecd26.CHR,2/3/21,10:16:07,N2O,1.426,17.2944,2.811,603-90,1,,,1_02/07/2021
ecd27.CHR,2/3/21,10:21:23,N2O,1.426,11.4348,1.855,604-90,1,,,1_02/07/2021
ecd28.CHR,2/3/21,10:26:38,N2O,1.43,10.6364,1.729,605-90,1,,,1_02/07/2021
ecd29.CHR,2/3/21,10:31:54,N2O,1.423,9.5812,1.563,606-90,1,,,1_02/07/2021
ecd30.CHR,2/3/21,10:37:10,N2O,1.426,8.1002,1.306,607-90,1,,,1_02/07/2021
ecd31.CHR,2/3/21,10:42:25,N2O,1.426,7.1114,1.157,608-90,1,,,1_02/07/2021
ecd32.CHR,2/3/21,10:47:41,N2O,1.423,9.0004,1.452,609-90,1,,,1_02/07/2021
ecd33.CHR,2/3/21,10:52:56,N2O,1.426,15.74,2.549,610-90,1,,,1_02/07/2021
ecd34.CHR,2/3/21,10:58:11,N2O,1.43,8.7976,1.425,611-90,1,,,1_02/07/2021
ecd35.CHR,2/3/21,11:03:27,N2O,1.426,7.7538,1.266,612-90,1,,,1_02/07/2021
ecd36.CHR,2/3/21,11:08:43,N2O,1.43,8.9836,1.467,613-90,1,,,1_02/07/2021
ecd37.CHR,2/3/21,11:13:58,N2O,1.426,12.2218,1.968,614-90,1,,,1_02/07/2021
ecd38.CHR,2/3/21,11:19:14,N2O,1.426,11.3276,1.83,615-90,1,,,1_02/07/2021
ecd39.CHR,2/3/21,11:24:29,N2O,1.426,3.3164,0.528,C1-90,1,,,1_02/07/2021
ecd40.CHR,2/3/21,11:29:45,N2O,1.426,19.8338,3.22,616-45,1,,,1_02/07/2021
ecd41.CHR,2/3/21,11:35:01,N2O,1.423,9.6464,1.556,617-45,1,,,1_02/07/2021
ecd42.CHR,2/3/21,11:40:15,N2O,1.423,13.992,2.268,618-45,1,,,1_02/07/2021
ecd43.CHR,2/3/21,11:45:29,N2O,1.426,9.1108,1.492,619-45,1,,,1_02/07/2021
ecd44.CHR,2/3/21,11:50:43,N2O,1.423,15.771,2.566,620-45,1,,,1_02/07/2021
ecd45.CHR,2/3/21,11:55:56,N2O,1.426,11.0766,1.805,621-45,1,,,1_02/07/2021
ecd46.CHR,2/3/21,12:01:10,N2O,1.423,7.6598,1.257,622-45,1,,,1_02/07/2021
ecd47.CHR,2/3/21,12:06:24,N2O,1.42,5.0622,0.813,623-45,1,,,1_02/07/2021
ecd48.CHR,2/3/21,12:11:38,N2O,1.42,8.04,1.318,624-45,1,,,1_02/07/2021
ecd49.CHR,2/3/21,12:16:52,N2O,1.426,10.25,1.665,625-45,1,,,1_02/07/2021
ecd50.CHR,2/3/21,12:22:06,N2O,1.426,8.593,1.395,626-45,1,,,1_02/07/2021
ecd51.CHR,2/3/21,12:29:07,N2O,1.44,21.3112,3.206,Mix1,1,0.301,,2_02/07/2021
ecd52.CHR,2/3/21,12:34:22,N2O,1.433,122.2352,17.756,Mix2,1,2.046,,2_02/07/2021
ecd53.CHR,2/3/21,12:39:36,N2O,1.43,681.5436,95.819,Mix3,1,16.66,,2_02/07/2021
ecd54.CHR,2/3/21,12:44:51,N2O,1.423,3.872,0.643,627-45,1,,,2_02/07/2021
ecd55.CHR,2/3/21,12:50:05,N2O,1.423,5.0548,0.836,628-45,1,,,2_02/07/2021
ecd56.CHR,2/3/21,12:55:20,N2O,1.423,2.9548,0.493,629-45,1,,,2_02/07/2021
ecd57.CHR,2/3/21,13:00:34,N2O,1.433,4.8874,0.792,630-45,1,,,2_02/07/2021
ecd58.CHR,2/3/21,13:05:49,N2O,1.426,45.4988,7.309,616-90,1,,,2_02/07/2021
ecd59.CHR,2/3/21,13:11:04,N2O,1.426,22.5974,3.663,617-90,1,,,2_02/07/2021
ecd60.CHR,2/3/21,13:16:19,N2O,1.423,34.3966,5.549,618-90,1,,,2_02/07/2021
ecd61.CHR,2/3/21,13:21:33,N2O,1.43,21.6864,3.511,619-90,1,,,2_02/07/2021
ecd62.CHR,2/3/21,13:27:02,N2O,1.426,40.6654,6.53,620-90,1,,,2_02/07/2021
ecd63.CHR,2/3/21,13:32:17,N2O,1.43,25.7656,4.151,621-90,1,,,2_02/07/2021
ecd64.CHR,2/3/21,13:37:32,N2O,1.426,16.9796,2.754,622-90,1,,,2_02/07/2021
ecd65.CHR,2/3/21,13:42:47,N2O,1.426,10.4014,1.683,623-90,1,,,2_02/07/2021
ecd66.CHR,2/3/21,13:48:02,N2O,1.426,16.8496,2.732,624-90,1,,,2_02/07/2021
ecd67.CHR,2/3/21,13:53:17,N2O,1.43,22.9444,3.718,625-90,1,,,2_02/07/2021
ecd68.CHR,2/3/21,13:58:32,N2O,1.426,20.292,3.286,626-90,1,,,2_02/07/2021
ecd69.CHR,2/3/21,14:03:47,N2O,1.43,8.06,1.297,627-90,1,,,2_02/07/2021
ecd70.CHR,2/3/21,14:09:03,N2O,1.43,11.71,1.909,628-90,1,,,2_02/07/2021
ecd71.CHR,2/3/21,14:14:18,N2O,1.426,6.1896,0.999,629-90,1,,,2_02/07/2021
ecd72.CHR,2/3/21,14:19:33,N2O,1.426,13.0352,2.129,630-90,1,,,2_02/07/2021
ecd73.CHR,2/3/21,14:24:49,N2O,1.423,1.5368,0.239,C2-0,1,,,2_02/07/2021
ecd74.CHR,2/3/21,14:30:04,N2O,1.433,4.4536,0.723,631-45,1,,,2_02/07/2021
ecd75.CHR,2/3/21,14:35:18,N2O,1.426,4.7196,0.774,632-45,1,,,2_02/07/2021
ecd76.CHR,2/3/21,14:40:33,N2O,1.426,4.1074,0.675,633-45,1,,,2_02/07/2021
ecd77.CHR,2/3/21,14:46:23,N2O,1.433,10.1062,1.645,634-45,1,,,2_02/07/2021
ecd78.CHR,2/3/21,14:51:37,N2O,1.433,4.7076,0.785,635-45,1,,,2_02/07/2021
ecd79.CHR,2/3/21,14:57:47,N2O,1.426,12.1658,1.95,636-45,1,,,2_02/07/2021
ecd80.CHR,2/3/21,15:03:49,N2O,1.433,5.0212,0.809,637-45,1,,,2_02/07/2021
ecd81.CHR,2/3/21,15:10:09,N2O,1.426,4.0452,0.666,638-45,1,,,2_02/07/2021
ecd82.CHR,2/3/21,15:15:46,N2O,1.43,3.1188,0.51,639-45,1,,np,2_02/07/2021
ecd83.CHR,2/3/21,15:22:08,N2O,1.426,8.0862,1.285,640-45,1,,,2_02/07/2021
ecd84.CHR,2/3/21,15:28:05,N2O,1.433,3.8944,0.651,641-45,1,,,2_02/07/2021
ecd85.CHR,2/3/21,15:33:48,N2O,1.433,4.8908,0.78,642-45,1,,,2_02/07/2021
ecd86.CHR,2/3/21,18:54:32,N2O,1.42,7.656,1.256,643-45,1,,,2_02/07/2021
ecd87.CHR,2/3/21,19:05:24,N2O,1.426,13.9404,2.269,644-45,1,,,2_02/07/2021
ecd88.CHR,2/3/21,19:10:38,N2O,1.426,6.9548,1.157,645-45,1,,,2_02/07/2021
ecd89.CHR,2/3/21,19:15:52,N2O,1.42,1.698,0.288,C2-45,1,,,2_02/07/2021
ecd90.CHR,2/3/21,19:21:06,N2O,1.43,10.3104,1.672,631-90,1,,,2_02/07/2021
ecd91.CHR,2/3/21,19:26:21,N2O,1.426,11.6932,1.895,632-90,1,,,2_02/07/2021
ecd92.CHR,2/3/21,19:31:35,N2O,1.43,10.0174,1.628,633-90,1,,,2_02/07/2021
ecd93.CHR,2/3/21,19:36:49,N2O,1.43,28.9744,4.69,634-90,1,,,2_02/07/2021
ecd94.CHR,2/3/21,19:42:04,N2O,1.43,12.139,1.976,635-90,1,,,2_02/07/2021
ecd95.CHR,2/3/21,19:47:18,N2O,1.426,66.171,6.8,636-90,1,,,2_02/07/2021
ecd96.CHR,2/3/21,19:52:33,N2O,1.43,10.5708,1.709,637-90,1,,,2_02/07/2021
ecd97.CHR,2/3/21,19:57:47,N2O,1.43,10.2704,1.662,638-90,1,,,2_02/07/2021
ecd98.CHR,2/3/21,20:03:02,N2O,1.433,37.8142,5.565,639-90,1,,np,2_02/07/2021
ecd99.CHR,2/3/21,20:08:17,N2O,1.43,22.408,3.606,640-90,1,,,2_02/07/2021
ecd100.CHR,2/3/21,20:13:31,N2O,1.436,11.0352,1.792,641-90,1,,,2_02/07/2021
ecd101.CHR,2/3/21,20:18:46,N2O,1.43,21.1108,3.16,Mix1,1,0.301,,3_02/07/2021
ecd102.CHR,2/3/21,20:24:01,N2O,1.433,118.4598,17.18,Mix2,1,2.046,,3_02/07/2021
ecd103.CHR,2/3/21,20:29:15,N2O,1.433,671.3368,94.265,Mix3,1,16.66,,3_02/07/2021
ecd104.CHR,2/3/21,20:34:29,N2O,1.43,12.2264,1.989,642-90,1,,,3_02/07/2021
ecd105.CHR,2/3/21,20:39:44,N2O,1.426,22.7944,3.662,643-90,1,,,3_02/07/2021
ecd106.CHR,2/3/21,20:44:58,N2O,1.433,62.0832,6.622,644-90,1,,,3_02/07/2021
ecd107.CHR,2/3/21,20:50:13,N2O,1.426,20.5104,3.307,645-90,1,,,3_02/07/2021
ecd108.CHR,2/3/21,20:55:28,N2O,1.433,2.8672,0.459,C2-90,1,,,3_02/07/2021
ecd109.CHR,2/3/21,21:00:43,N2O,1.433,1.67,0.266,C3-0,1,,,3_02/07/2021
ecd110.CHR,2/3/21,21:05:57,N2O,1.43,4.6936,0.754,646-45,1,,,3_02/07/2021
ecd111.CHR,2/3/21,21:11:12,N2O,1.426,43.0176,2.889,647-45,1,,,3_02/07/2021
ecd112.CHR,2/3/21,21:16:27,N2O,1.426,13.1348,2.129,648-45,1,,,3_02/07/2021
ecd113.CHR,2/3/21,21:21:42,N2O,1.43,9.0884,1.465,649-45,1,,,3_02/07/2021
ecd114.CHR,2/3/21,21:26:56,N2O,1.433,5.9266,0.977,650-45,1,,,3_02/07/2021
ecd115.CHR,2/3/21,21:32:11,N2O,1.436,14.1352,2.292,651-45,1,,,3_02/07/2021
ecd116.CHR,2/3/21,21:37:25,N2O,1.43,10.6524,1.718,652-45,1,,,3_02/07/2021
ecd117.CHR,2/3/21,21:42:40,N2O,1.436,9.244,1.496,653-45,1,,,3_02/07/2021
ecd118.CHR,2/3/21,21:47:55,N2O,1.433,6.4132,1.024,654-45,1,,,3_02/07/2021
ecd119.CHR,2/3/21,21:53:09,N2O,1.433,15.6592,2.539,655-45,1,,np,3_02/07/2021
ecd120.CHR,2/3/21,21:58:24,N2O,1.433,5.1368,0.836,656-45,1,,np,3_02/07/2021
ecd121.CHR,2/3/21,22:03:39,N2O,1.433,1.9092,0.309,C3-45,1,,,3_02/07/2021
ecd122.CHR,2/3/21,22:08:54,N2O,1.43,10.5268,1.696,646-90,1,,,3_02/07/2021
ecd123.CHR,2/3/21,22:14:09,N2O,1.433,60.1728,6.404,647-90,1,,,3_02/07/2021
ecd124.CHR,2/3/21,22:19:24,N2O,1.43,63.8836,6.464,648-90,1,,,3_02/07/2021
ecd125.CHR,2/3/21,22:24:38,N2O,1.426,55.9002,4.892,649-90,1,,,3_02/07/2021
ecd126.CHR,2/3/21,22:29:53,N2O,1.433,14.6864,2.387,650-90,1,,,3_02/07/2021
ecd127.CHR,2/3/21,22:35:08,N2O,1.43,73.32,7.717,651-90,1,,,3_02/07/2021
ecd128.CHR,2/3/21,22:40:22,N2O,1.43,31.9088,5.104,652-90,1,,,3_02/07/2021
ecd129.CHR,2/3/21,22:45:37,N2O,1.433,25.8544,4.154,653-90,1,,,3_02/07/2021
ecd130.CHR,2/3/21,22:50:52,N2O,1.433,17.072,2.765,654-90,1,,,3_02/07/2021
ecd131.CHR,2/3/21,22:56:07,N2O,1.44,44.0414,6.458,655-90,1,,np,3_02/07/2021
ecd132.CHR,2/3/21,23:01:22,N2O,1.436,39.4192,5.761,656-90,1,,np,3_02/07/2021
ecd133.CHR,2/3/21,23:06:37,N2O,1.426,3.0096,0.474,C3-90,1,,,3_02/07/2021
ecd04.CHR,2/2/21,16:26:31,N2O,1.406,1.1392,0.188,Amb,1,,,2_02/07/2021
ecd05.CHR,2/2/21,16:31:46,N2O,1.413,0.8302,0.125,Amb,1,,,2_02/07/2021
ecd06.CHR,2/2/21,16:37:00,N2O,1.423,0.6964,0.12,Amb,1,,,2_02/07/2021
ecd04.CHR,2/2/21,16:26:31,N2O,1.406,1.1392,0.188,Amb,1,,,3_02/07/2021
ecd05.CHR,2/2/21,16:31:46,N2O,1.413,0.8302,0.125,Amb,1,,,3_02/07/2021
ecd06.CHR,2/2/21,16:37:00,N2O,1.423,0.6964,0.12,Amb,1,,,3_02/07/2021
